step,psnr,ssim,lpips
1,12.239372573502047,0.5889442510711932,0.46089285612106323
2,12.509971580895023,0.5983277703935629,0.4512888193130493
3,12.782534011619969,0.6069465127392462,0.4398345351219177
4,13.052377093748309,0.6143494137431679,0.4332805275917053
5,13.317252420195002,0.6196672097996218,0.4286230802536011
6,13.585706109909237,0.6225682638629438,0.424652099609375
7,13.841946210429594,0.623944556309238,0.4224812984466553
8,14.089230965000265,0.6254095176552432,0.42185789346694946
9,14.329119497753986,0.6268889640007874,0.42080754041671753
10,14.563941137930183,0.6284515024900985,0.4207566976547241
11,14.795410352614716,0.6298769970406038,0.41932424902915955
12,15.022349383467697,0.6309814471330154,0.41819822788238525
13,15.248297760403396,0.6317969646723609,0.4174957275390625
14,15.478277224686153,0.6326019379678758,0.41499781608581543
15,15.708872361456825,0.6339714823944077,0.4118781089782715
16,15.938936412510838,0.6359309804484826,0.4096675515174866
17,16.165236294653376,0.6380289523171608,0.40679797530174255
18,16.370496294026708,0.6400532642834191,0.40332305431365967
19,16.53928245097309,0.6415026657244414,0.40150201320648193
20,16.6685003825606,0.6422167041693609,0.40018749237060547
21,16.757895742612657,0.6424432812903006,0.39943504333496094
22,16.816151451576275,0.642696901191191,0.39801663160324097
23,16.84944477496799,0.6431931618030496,0.39686375856399536
24,16.871434743959227,0.6434889642505673,0.39612433314323425
25,16.89556275800056,0.6442579966999312,0.39587101340293884
26,16.923884650759305,0.6448121384064914,0.3947754502296448
27,16.954992215813323,0.6455273760151942,0.3933183550834656
28,16.991651734078605,0.6461747197316434,0.39248743653297424
29,17.040211023888293,0.6472552025898605,0.39159613847732544
30,17.095303972829768,0.6483459243219483,0.3906763792037964
31,17.149502989384683,0.6500571588452018,0.38932889699935913
32,17.203989131838767,0.6517788713037341,0.3873140811920166
33,17.259347606827426,0.653485875296258,0.38564684987068176
34,17.315250947247367,0.655398220320117,0.3839871287345886
35,17.371705486688505,0.6574406495111502,0.3819658160209656
36,17.42985843917502,0.6591893394927876,0.3801666796207428
37,17.48546889718589,0.6607341705291709,0.3787667155265808
38,17.53602002070785,0.6620732953033354,0.3776731789112091
39,17.58956951152099,0.6635863433725286,0.37600481510162354
40,17.64115127834113,0.6650897294929848,0.3741101920604706
