step,psnr,ssim,lpips
1,12.195543063054224,0.5876349833624753,0.4612374007701874
2,12.481318168401192,0.5968430980909506,0.45451590418815613
3,12.753459550522503,0.605712942005593,0.4440685212612152
4,13.030877544692235,0.61429592508986,0.4348992705345154
5,13.310797339434934,0.6213216077782963,0.43024390935897827
6,13.584414651513779,0.6257013318538415,0.42517298460006714
7,13.83850927891343,0.6279167342811189,0.4234779477119446
8,14.081008885022865,0.6288399723892354,0.4234253764152527
9,14.311206169221311,0.6293671792297774,0.42489495873451233
10,14.541527406458886,0.630377125733425,0.42421621084213257
11,14.776943376583688,0.631535391277411,0.4243265688419342
12,15.013348227316051,0.6327021586164592,0.42317408323287964
13,15.25099920386201,0.6344695528363894,0.41951143741607666
14,15.487437425324938,0.636169168012042,0.4162461757659912
15,15.723821784018542,0.637993326361601,0.4125860929489136
16,15.954553514796379,0.6396859437948103,0.40899839997291565
17,16.1761896150972,0.6413971810508688,0.4062579274177551
18,16.388009223867794,0.6434118533034338,0.40316277742385864
19,16.571913834339387,0.6444867965126533,0.40044379234313965
20,16.715751156170413,0.6451223315461388,0.3976707458496094
21,16.8142798626675,0.645455002890187,0.39645540714263916
22,16.86993843421092,0.6456647773007119,0.3950502872467041
23,16.89312903467256,0.645619834779993,0.39359477162361145
24,16.904823214823296,0.6459855059891387,0.3917836546897888
25,16.915047355138285,0.6472736892473104,0.3898312449455261
26,16.92813016003431,0.648837794119702,0.38751715421676636
27,16.949003766850993,0.6504342036723264,0.38490378856658936
28,16.98824868970248,0.6522226123104029,0.38274961709976196
29,17.0331582602933,0.6536663809048943,0.38044488430023193
30,17.085706988497854,0.6551196421638575,0.37842848896980286
31,17.150672960065947,0.6567442784774377,0.3768921196460724
32,17.215942374053252,0.6583291487482583,0.37553900480270386
33,17.282924493555726,0.6597947198535911,0.3747410774230957
34,17.34789102588155,0.6609918562637668,0.37416067719459534
35,17.409912010367695,0.6623431728815256,0.3732311725616455
36,17.466341760685953,0.663304734292534,0.3719092011451721
37,17.520973771229077,0.6645107720402629,0.36984893679618835
38,17.577151374700616,0.6661678446401699,0.36739492416381836
39,17.643102375682687,0.668506847184248,0.36477750539779663
40,17.69951721168488,0.6701480438449501,0.36308056116104126
41,17.75406095055327,0.6717391080305957,0.36153149604797363
42,17.80332081016098,0.6730097918650554,0.35930192470550537
43,17.845343131143,0.673566898849059,0.3581319749355316
44,17.88398678684425,0.6744535920069042,0.3568218946456909
45,17.921586463604903,0.6751441014480292,0.3555123805999756
46,17.955954058692328,0.6755979991421887,0.35498619079589844
47,17.989178129696537,0.6759690802615781,0.3547438979148865
48,18.016041955121842,0.6759616059043972,0.35470882058143616
49,18.04816382818015,0.6762395587703068,0.35507386922836304
50,18.078625228793022,0.6765705961214472,0.355061411857605
51,18.110663224896925,0.6770664803530165,0.3552737832069397
52,18.137161756873084,0.6768837918632621,0.35606178641319275
53,18.162629121950832,0.6771584131601812,0.35613223910331726
54,18.2051359636343,0.6781835252763954,0.35569483041763306
55,18.249612638845917,0.6795721853864918,0.3551636338233948
56,18.294472474279416,0.6813222707372644,0.35341590642929077
57,18.3199818373731,0.6828413762278877,0.3507522940635681
58,18.333034700465745,0.6839565594296132,0.34895622730255127
59,18.348874986857236,0.6848995814830992,0.3476131558418274
60,18.377792288256522,0.685629419114234,0.3468692898750305
61,18.418226725118874,0.6863911502772089,0.3467538356781006
62,18.46424782685977,0.6877121479644996,0.3453418016433716
63,18.514598975566116,0.6890622512249146,0.3437846899032593
64,18.57751729432212,0.6906011656154019,0.34242692589759827
65,18.64209901325268,0.6920341178334736,0.34113675355911255
66,18.694431832088604,0.6928587625517357,0.3400254249572754
67,18.737337112226932,0.6935332114452786,0.3391127586364746
68,18.768864233434613,0.6933019133662164,0.33885788917541504
69,18.800587515816346,0.6930516284382594,0.3391474485397339
70,18.83088223099155,0.6924438849270239,0.33929359912872314
71,18.85884295915091,0.6923842965311667,0.3391910791397095
72,18.87766724165211,0.6919634701123799,0.33905357122421265
73,18.90077180387785,0.691859088267131,0.3385239839553833
74,18.93107366472472,0.6921907480664574,0.3375436067581177
75,18.957413680933897,0.6923781326096483,0.3369712829589844
76,18.980590493560257,0.6925180493171182,0.33626604080200195
77,19.00721507038536,0.6931071701840753,0.3353845477104187
78,19.03747649346229,0.6939561282832943,0.3345956802368164
79,19.083057532630576,0.6952582497938334,0.3337642550468445
80,19.13122981623819,0.6964100495090931,0.33273380994796753
81,19.180098021455805,0.6974812258497997,0.3314332664012909
82,19.216047237748505,0.698306451214914,0.3303421437740326
83,19.2481119855069,0.6989907039668082,0.3294309079647064
84,19.27968882794419,0.6997907561838241,0.32878661155700684
85,19.309188973157774,0.7006026005483353,0.3280066251754761
86,19.343663253041804,0.7015840327377764,0.32741257548332214
87,19.367562928487043,0.7025560139511823,0.3265078067779541
