step,psnr,ssim,lpips
1,13.084012501425207,0.737624905164072,0.3662172555923462
2,13.408673313136607,0.7447586444248988,0.35095447301864624
3,13.751954445809723,0.7522398578097947,0.33501213788986206
4,14.060061586213134,0.7588429349882896,0.3268638551235199
5,14.369181085812786,0.7648134343713253,0.3195982575416565
6,14.673436110596988,0.77002650841507,0.3108428716659546
7,14.970799823901908,0.7745994374795063,0.30433353781700134
8,15.252786730668774,0.7783052041253117,0.29914456605911255
9,15.512800487070692,0.7808865292801528,0.2941436767578125
10,15.748540459593745,0.7830938215628592,0.2897767126560211
11,15.961628974074234,0.7852163162112342,0.2867034673690796
12,16.158595659350354,0.7874110825355456,0.2844202518463135
13,16.346460696461282,0.7897161879272011,0.2822112441062927
14,16.52378986061917,0.7917976324520706,0.2797977030277252
15,16.69271231034416,0.7939449419271795,0.27806955575942993
16,16.854228791825644,0.7961690356427855,0.2763567566871643
17,17.00636769481791,0.7984906071549146,0.27418532967567444
18,17.147594972971795,0.8004969365414148,0.27251335978507996
19,17.280948227315328,0.8022083104315488,0.2712138891220093
20,17.409385780339207,0.8037003331045588,0.2700962424278259
21,17.540500202870536,0.8057317260133686,0.2680712044239044
22,17.67071871657108,0.807806754393077,0.26481592655181885
23,17.800814339945767,0.8100346739546073,0.26108115911483765
24,17.92694219970995,0.8126114620231268,0.257742315530777
25,18.043376365159222,0.8149033505927434,0.254711776971817
26,18.152633675039546,0.8173711510348672,0.2522018551826477
27,18.24931827204955,0.8195324865118776,0.25014984607696533
28,18.345053761651997,0.8214521815435581,0.24758729338645935
29,18.435722636631205,0.8227429244724646,0.24568414688110352
30,18.51852807882469,0.8235972893024653,0.24421894550323486
31,18.59666518798877,0.8243501541182238,0.24230965971946716
32,18.66711361231591,0.8251557177762457,0.24033263325691223
33,18.731459201742517,0.8258433215729811,0.23839569091796875
34,18.79881996492116,0.8272015758184045,0.23585981130599976
35,18.855072773608185,0.8282849595712801,0.23419882357120514
36,18.908604072655866,0.8290538156172715,0.23309899866580963
37,18.960716972703022,0.8303340280166531,0.23208260536193848
38,19.00651343641591,0.8313550506111936,0.2310107946395874
39,19.071540027510455,0.8321550056043728,0.22992295026779175
40,19.138869031222143,0.8325064835365049,0.22898001968860626
41,19.194981803926705,0.8325968080136007,0.22753176093101501
42,19.24491124077872,0.8326749538219512,0.22572730481624603
43,19.292715439523256,0.8330011626480918,0.22427751123905182
44,19.347432699317963,0.8338404151406177,0.22291511297225952
45,19.399813301465283,0.8349195350348593,0.22123590111732483
46,19.444851794568386,0.8355542947944068,0.22001931071281433
47,19.491294311365124,0.8358753354151874,0.21959567070007324
48,19.542673602977295,0.8360602944470097,0.21940472722053528
49,19.59189556498183,0.8369581452345264,0.2187466323375702
50,19.63738410459175,0.8380692867352093,0.218009352684021
51,19.688167870795482,0.838727442563612,0.21808457374572754
52,19.74635863487086,0.8391661936671949,0.2177828997373581
53,19.80449587218287,0.8393884882526698,0.2168262004852295
54,19.8554627724378,0.8394291265133474,0.215828537940979
55,19.909972207319772,0.8403114780137008,0.21492668986320496
56,19.967098927432264,0.8415393657974087,0.21409957110881805
57,20.02359474257069,0.8426130101420753,0.21255970001220703
58,20.07177869547327,0.8433922766385341,0.21101240813732147
59,20.127665516388124,0.8437550906468626,0.21040940284729004
60,20.185678605932864,0.8441101980026205,0.2102392464876175
61,20.259622477796153,0.8450408207975574,0.2099153995513916
62,20.32727505728412,0.846412449514518,0.20891433954238892
63,20.389681419540977,0.8471796195350474,0.20805443823337555
64,20.451624314069615,0.8475873824167808,0.20761315524578094
65,20.51158778596546,0.8476716983456117,0.20791995525360107
66,20.568070526008036,0.8478077129930611,0.2078441083431244
67,20.613320449705977,0.8480854041240456,0.20729951560497284
68,20.65554706937071,0.8481217733099887,0.20672181248664856
69,20.694795927283216,0.8480355844115177,0.20602799952030182
70,20.728983276121802,0.8478875758134214,0.20502713322639465
71,20.781089394004102,0.848386480811587,0.20328721404075623
72,20.836870311729896,0.8490613669600733,0.2017953097820282
73,20.890163215292347,0.849710780180947,0.2005210816860199
74,20.946108738211887,0.8506049785243405,0.2001326084136963
75,20.993062949265795,0.8511346525484944,0.19993337988853455
76,21.046009343580643,0.8524182995464726,0.19932277500629425
77,21.099461780820175,0.8538475268660699,0.19864895939826965
78,21.153776855939054,0.8548366760154512,0.19758270680904388
79,21.20566441983869,0.8553829223860392,0.19742578268051147
80,21.276857916616635,0.8561321317922114,0.19677865505218506
81,21.356662966543954,0.8565923943087292,0.1966152936220169
82,21.44517997419498,0.8567221940583568,0.1964499056339264
83,21.523044987060832,0.8565844165354849,0.19617760181427002
84,21.58894650288234,0.8564393083271465,0.19642773270606995
85,21.628488525402886,0.8561869530055138,0.19664126634597778
86,21.67250209684074,0.8562638854409084,0.19683772325515747
87,21.720257321304743,0.856352438420069,0.19630342721939087
88,21.76991781849454,0.8567005141771281,0.1957627683877945
89,21.805984672913382,0.8568073236146191,0.19500935077667236
90,21.83623007817446,0.8570014774453713,0.19467221200466156
91,21.850248586294242,0.8569804601157944,0.19451114535331726
92,21.848616197962517,0.8566999069108402,0.1935155838727951
93,21.88663493630033,0.8570191533574247,0.19302311539649963
94,21.93665022002635,0.8576494121852068,0.19217002391815186
95,22.00951586498054,0.8586980815092623,0.19070282578468323
96,22.08077457539561,0.8599486774937978,0.18964508175849915
97,22.130588694012978,0.860940584803188,0.18908542394638062
98,22.15387322524339,0.8618137850203554,0.18821805715560913
99,22.153745431736805,0.8621846078978082,0.18777061998844147
100,22.160246248229246,0.8625254684367544,0.18658098578453064
101,21.022297273785515,0.8445969825469065,0.1933588683605194
102,21.498888051676182,0.8513205925312176,0.19164150953292847
103,21.875898967335175,0.8566359690933592,0.18747752904891968
104,22.139861565059057,0.8603303852383841,0.18452143669128418
105,22.3462592485616,0.8630043963813004,0.18363717198371887
106,22.491670582106163,0.8652639251399522,0.18288446962833405
107,22.598630115159835,0.8673279541981783,0.1809907704591751
108,22.685556792855653,0.8695183924707556,0.1794680804014206
109,22.7444367311416,0.8706137249498557,0.1781957447528839
110,22.785391162215582,0.8712292481307689,0.1781967282295227
111,22.85376581633279,0.8717703457060573,0.17826183140277863
112,22.898692029889695,0.872088501002573,0.17783457040786743
113,22.962437347849033,0.8726761037582816,0.17717278003692627
114,23.066033573929786,0.8734887050566393,0.17706768214702606
115,23.176041245811096,0.8748059647712436,0.17660512030124664
116,23.271886414900287,0.8767165262203003,0.17513445019721985
117,23.321339181850234,0.877923219909195,0.17337144911289215
118,23.410165000890892,0.8797249410283582,0.1713792383670807
119,23.485518987894984,0.8804295789107904,0.1692061424255371
120,23.5312248524085,0.880631235766916,0.16799281537532806
121,23.56948994028849,0.8806910866475338,0.16718673706054688
122,23.61048404788267,0.8808587337175147,0.16681082546710968
123,23.663522118140904,0.8815747860695886,0.1664608120918274
124,23.714220077655405,0.8824291822403739,0.16645866632461548
125,23.78451608538318,0.8829233423644732,0.16650672256946564
126,23.884627058633757,0.8837130123105331,0.16539078950881958
127,23.938974949907802,0.8843414703630819,0.16412432491779327
128,23.95285320437596,0.8847023681560637,0.1626666933298111
129,23.935697268244702,0.8849183379960861,0.16108916699886322
130,23.969182627062217,0.8849084117936362,0.1611345410346985
131,23.961356685737016,0.884700909666452,0.16198565065860748
132,23.928182578877156,0.884827824003403,0.16208714246749878
133,23.92658978172742,0.8852976374190916,0.161716029047966
134,23.956213470576635,0.8861397563732321,0.16065117716789246
135,24.063857383057172,0.8873150824779449,0.15988308191299438
136,24.159294732739532,0.8885011065823057,0.15850430727005005
137,24.178289892098796,0.8886687594500214,0.1574338674545288
138,24.13264991369024,0.8885168290915292,0.15762470662593842
139,24.057225441465523,0.8882466718818519,0.1578446328639984
140,23.98778938505412,0.887815015887962,0.15823468565940857
141,23.95708668373761,0.887377967540249,0.15887093544006348
142,23.975156078277276,0.8873137425531633,0.15921038389205933
143,24.001935741267214,0.8873039385647762,0.15944379568099976
144,24.041611700792437,0.8875074739051104,0.159388929605484
145,24.11744138194709,0.8881998838005916,0.15851546823978424
146,24.15589440096248,0.889012361498569,0.15738226473331451
147,24.155448464741134,0.8893186966908604,0.15602904558181763
148,24.12374524781724,0.8894820874942161,0.1553264558315277
149,24.130877368644718,0.8896328494932676,0.15452247858047485
150,24.135751056246843,0.8898366098825639,0.15360000729560852
151,24.13152624447296,0.8900468530525849,0.15276242792606354
152,24.14018681699321,0.8902445681047189,0.1520756483078003
153,24.160167609229546,0.8907517915397163,0.1517908275127411
154,24.172884296982822,0.8911052648728709,0.15155234932899475
155,24.219364338152282,0.8916217618280635,0.15080760419368744
156,24.273790861437746,0.8921734277993462,0.15040314197540283
157,24.315092389286136,0.8925034774804844,0.1501360684633255
158,24.31410626703181,0.8925416418364862,0.1497591733932495
159,24.28091910482386,0.8920460529128533,0.15011003613471985
160,24.25099467164737,0.8916021625782902,0.1499837189912796
161,24.201264153839702,0.8909906503475149,0.15052194893360138
162,24.157402892754938,0.8905312040685369,0.15073269605636597
163,24.120923506661917,0.8901050527433011,0.15098333358764648
164,24.109335257542917,0.8899313212836216,0.1514783352613449
165,24.127555180241696,0.8899947010822234,0.15154509246349335
166,24.17083999431013,0.8901698431203414,0.15152299404144287
167,24.236726680955783,0.890673713032987,0.1510472595691681
168,24.289631875244496,0.8908383315997684,0.15005755424499512
169,24.340652192587385,0.8912908775423807,0.1495397686958313
170,24.40146072552092,0.8921738269359603,0.14820513129234314
171,24.44313782241393,0.8927642435555102,0.14744092524051666
172,24.49049420790995,0.8934719900920824,0.14665710926055908
173,24.53292821836854,0.8940496703650435,0.14540889859199524
