step,psnr,ssim,lpips
1,13.161944610754468,0.7180745726826282,0.3962000906467438
2,13.500917616312101,0.7266346193239629,0.380761057138443
3,13.834638547510384,0.7353369397598427,0.3666686415672302
4,14.161334182429897,0.7421130900218819,0.356556236743927
5,14.489417830747005,0.7460480933487629,0.34704843163490295
6,14.821586456681814,0.7476555164765165,0.3386803865432739
7,15.14441357574607,0.7492118268818668,0.3292042315006256
8,15.450048041904857,0.7505195320769426,0.32192444801330566
9,15.728473264128521,0.7521089908083466,0.31568828225135803
10,15.984213444553106,0.7546220753480467,0.31017184257507324
11,16.21596189464627,0.7572038442183873,0.3054355978965759
12,16.428720169436733,0.7607278490321528,0.2989426255226135
13,16.61965659201538,0.7644143423785187,0.2944824695587158
14,16.79132279126144,0.7679387979040979,0.2909855246543884
15,16.953072000778334,0.7715694819739238,0.2865782380104065
16,17.104724563775253,0.77520336127718,0.282946914434433
17,17.24402892090232,0.778528180375349,0.28023141622543335
18,17.37131655528816,0.7816588742003852,0.2766721844673157
19,17.497378875258125,0.7850779255399627,0.2737853527069092
20,17.61448412571212,0.7882805933342345,0.2707604169845581
21,17.72356111842928,0.7915967426960178,0.26727497577667236
22,17.827481940075792,0.795270279606853,0.26327961683273315
23,17.92329213767146,0.7983384217578582,0.25950202345848083
24,18.00749257996763,0.800294520332721,0.25716567039489746
25,18.08222000996568,0.8017795017901732,0.25503867864608765
26,18.147806225297348,0.8035845822108852,0.25318336486816406
27,18.19704823164363,0.805410521426758,0.2521973252296448
28,18.246237664418484,0.8068658558545515,0.25085192918777466
29,18.30219544422594,0.8082474856463283,0.24823012948036194
30,18.361415062128582,0.8097731556530324,0.24583375453948975
31,18.42348999665954,0.8113205138474271,0.2441616952419281
32,18.488730839299173,0.8124682350540838,0.24356524646282196
33,18.553308606150946,0.8133206343865037,0.2430090755224228
34,18.61086979661053,0.8139549521604046,0.24233850836753845
35,18.660278077660216,0.8146074878378592,0.24128727614879608
36,18.708674779765015,0.8157332583842817,0.23977620899677277
37,18.757132970050613,0.81684407207901,0.23834328353405
38,18.805871342494566,0.8178489308575837,0.23702172935009003
