step,psnr,ssim,lpips
1,13.063664071874072,0.7370309679133782,0.36993879079818726
2,13.381831289837043,0.7440154861348676,0.35885828733444214
3,13.715669040670589,0.7511780140544193,0.34402185678482056
4,14.054591967536595,0.7580437386978603,0.3322371244430542
5,14.392050664052684,0.7638344943046492,0.32415714859962463
6,14.727104009928084,0.7694121733188682,0.3168888986110687
7,15.044724318201405,0.7738569798223326,0.3105398416519165
8,15.339781019421885,0.7774336750601284,0.30277395248413086
9,15.608595974233639,0.7804051113437245,0.2950667142868042
10,15.847533379805629,0.7824481253459403,0.28811541199684143
11,16.066114405050975,0.7847435637376822,0.2823774516582489
12,16.264909556556063,0.7872989797601265,0.2771260142326355
13,16.452722600552324,0.7900217633606409,0.2742840349674225
14,16.634297503916976,0.7932812851723025,0.2718733847141266
15,16.81234203079801,0.7963087013432203,0.2695825695991516
16,16.989765997712176,0.7992580067416051,0.26691198348999023
17,17.15830732194805,0.8022324305640538,0.2637791931629181
18,17.320663566092197,0.8047518893314735,0.26028698682785034
19,17.472245238734065,0.8071837359456123,0.25732550024986267
20,17.61746633523798,0.8095524867745816,0.2550174295902252
21,17.752031962627637,0.8116522904662631,0.25311020016670227
22,17.873255884903777,0.8134676206281378,0.25164103507995605
23,17.97996123269163,0.8150762568486026,0.2505069971084595
24,18.08206444243543,0.816432300492143,0.24863895773887634
25,18.18181801413986,0.8178668620338265,0.2467420995235443
26,18.28327808208497,0.8192992938942645,0.24494148790836334
27,18.380710947148437,0.8209088551082949,0.24324817955493927
28,18.466437242825464,0.8223155785799889,0.241445392370224
29,18.545860100180743,0.8237302938095111,0.2400321662425995
30,18.62259969189933,0.8247260919190985,0.23910565674304962
31,18.69194410783055,0.8255772188962537,0.23818190395832062
32,18.75765713002246,0.8261972380128441,0.23673377931118011
33,18.818700701990736,0.8268329770408681,0.2353253811597824
34,18.87420296767162,0.8275377358078252,0.23288260400295258
35,18.931157272955918,0.8282278192826923,0.23032169044017792
36,18.989300643427992,0.8288681072972608,0.22858938574790955
37,19.048497959465344,0.8301265623702908,0.22674953937530518
38,19.10792801092777,0.83171945482117,0.22453707456588745
39,19.165733262243357,0.8337272548206937,0.22214514017105103
40,19.2147486819292,0.8351725332388882,0.22099852561950684
41,19.274075769342232,0.836249442146792,0.21961906552314758
42,19.32647718392692,0.837001750256093,0.2188701033592224
43,19.393941256336504,0.8376297447905093,0.21842314302921295
44,19.465766871048302,0.838166440309931,0.21779778599739075
45,19.541714349064133,0.8387581993636929,0.21718688309192657
46,19.60892106793835,0.8392373971698696,0.2159612476825714
47,19.670074133354234,0.8401215302802617,0.21375775337219238
48,19.725393462171972,0.8412906838589591,0.21089673042297363
49,19.781256495169124,0.8424221032398099,0.20920874178409576
50,19.848186846547843,0.843884891428624,0.20801369845867157
51,19.906036591159264,0.8447732189070617,0.20829930901527405
52,19.95080324212656,0.8451853362181452,0.2083096206188202
53,19.998019865654413,0.8463136424928764,0.20701584219932556
54,20.041166046301015,0.8472632457463117,0.2061605155467987
55,20.07978026832121,0.8478116455459109,0.20555120706558228
56,20.120598800898186,0.8481750896125914,0.20512868463993073
57,20.16869185967049,0.8485182810360224,0.20435470342636108
58,20.216765007127485,0.8487110018736818,0.2036193311214447
59,20.271148611834896,0.8487043153700927,0.20291543006896973
60,20.308891281828423,0.848391020259364,0.2021961808204651
61,20.35144697229854,0.8481893151387631,0.200712189078331
62,20.400183069294904,0.8482220597505035,0.19946566224098206
63,20.452504355414575,0.8484932441988392,0.19829700887203217
64,20.50952697937546,0.849665413237927,0.19738714396953583
65,20.557369326514753,0.8509288977682198,0.19654041528701782
66,20.604382559541943,0.8521894189299385,0.1960817575454712
67,20.65429974409004,0.8528543108991283,0.19595715403556824
68,20.70770440315133,0.8532285055358443,0.19579659402370453
69,20.768176393862294,0.8534983900761439,0.19545994699001312
70,20.83751633957849,0.8539674556158786,0.1947692334651947
71,20.900230436620838,0.8547430553566061,0.19383467733860016
72,20.951843933486916,0.8552453400067348,0.19293996691703796
73,21.002883089441525,0.8556002741466888,0.19229549169540405
74,21.044177381442907,0.8559776879961362,0.19130125641822815
75,21.085180640180287,0.8563036678666863,0.19052356481552124
76,21.1259199796018,0.8566947834976829,0.18978586792945862
77,21.157832117290624,0.8568807873438574,0.18910002708435059
78,21.184114689244417,0.8572004196970818,0.18796947598457336
79,21.217827931932728,0.8574810977553144,0.18720930814743042
80,21.245144568073435,0.8576503488905486,0.18658846616744995
81,21.288043192795058,0.8581515735561367,0.18565618991851807
82,21.354505722480617,0.8586135179138267,0.18441444635391235
83,21.417582922542667,0.8589499774829038,0.1834377646446228
84,21.491333406263653,0.8590078416695758,0.18300434947013855
85,21.553595146132857,0.8590704340144096,0.1828538030385971
86,21.628584510905302,0.859150594458983,0.1830989122390747
87,21.69655964703121,0.8596522296962513,0.18310309946537018
88,21.77402904941275,0.8598600906825767,0.1829962432384491
89,21.825352056283315,0.8601556151964349,0.18281832337379456
90,21.876620299832524,0.8605335010739155,0.18219734728336334
91,21.934555966700987,0.8609804113518096,0.18149828910827637
92,21.99051647332798,0.8615900112952636,0.18055444955825806
93,22.05971897045494,0.8624131443534914,0.1799500435590744
94,22.128194531959416,0.8633688825301599,0.17908985912799835
95,22.184991195509795,0.864338128750738,0.17865891754627228
96,22.223067398495676,0.8653781178192704,0.17848339676856995
97,22.255497441095187,0.866374862675809,0.17842209339141846
98,22.32047212982325,0.8674640505009196,0.17791086435317993
99,22.385703008016655,0.8684955118163021,0.1781315952539444
100,22.44197970450671,0.8692564453792295,0.17831087112426758
101,21.463536336732616,0.854964609393199,0.18641379475593567
102,21.853028631082477,0.8619484995539608,0.18110710382461548
103,22.15061803383881,0.867051505993829,0.1761448234319687
104,22.387197508314497,0.870804698165232,0.1738920509815216
105,22.58759882952369,0.8730069640254778,0.17254741489887238
106,22.739179242446692,0.8742243629504679,0.1722518503665924
107,22.783713136928128,0.8744270454402779,0.172458216547966
108,22.86023765434038,0.8754998894077118,0.1718350201845169
109,22.926578097024123,0.8758773767861769,0.17075863480567932
110,23.004504981281396,0.8764304074389759,0.16955524682998657
111,23.064704476363897,0.8768950547699417,0.16854853928089142
112,23.127329661035713,0.8775382549179579,0.16810260713100433
113,23.19110854230484,0.8782705585409841,0.16810286045074463
114,23.297951366401023,0.8800780756319977,0.16665178537368774
115,23.383084898493372,0.8813871006858273,0.1653718650341034
116,23.444580373883017,0.8823432427160739,0.16428473591804504
117,23.508207939096355,0.8826465485773857,0.16431841254234314
118,23.52459457150873,0.8823812754128753,0.16416224837303162
119,23.555836978896465,0.8821703802292121,0.16386155784130096
120,23.618350301136086,0.8822974126165907,0.16380788385868073
121,23.71384602091998,0.8834594852507728,0.16175217926502228
122,23.752079689393526,0.8841354339249788,0.16022415459156036
123,23.757416938293847,0.8843705849567524,0.15913712978363037
124,23.73200011619624,0.884257615167337,0.15888917446136475
125,23.68999269993548,0.8839720000310408,0.15947982668876648
126,23.65077909524198,0.8839102091247595,0.159780353307724
127,23.65802503392743,0.8843685471701814,0.15946103632450104
128,23.722684028105903,0.8852327200411403,0.15898646414279938
129,23.792998200410388,0.8862241403653318,0.15841105580329895
130,23.78993328953498,0.8866687214672259,0.15734900534152985
131,23.770737671801726,0.8869339238465203,0.15695220232009888
132,23.774865757212254,0.8872232678922191,0.156998872756958
133,23.82586356111076,0.887651216287073,0.15736636519432068
134,23.899048034717616,0.888307663700277,0.15742482244968414
